Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction,Price_Per_SQM,Postal_District,Market_Tier
"2 Phoenix Terrace, Rock Road, Blackrock, Co. Dublin, A94E5X7",1275000.0,4,2,Terrace,168.0,SI_666,53.304643,-6.186704,9632.0,blackrock-dublin,Dublin,"Spacious Living Areas: Bright and airy rooms with high ceilings and original features for a warm, welcoming atmosphere., Prime residential location within walking distance of so many amenities including seafront, beach, parks, shopping centres, restaurants, and Blackrock, Modern Kitchen: A fully equipped, contemporary kitchen that blends functionality with style €"" perfect for culinary enthusiasts, Elegant Bedrooms: Generously sized bedrooms offering peace and tranquillity, each uniquely designed to maximize space and light., Stylish Bathrooms: Tastefully designed bathrooms equipped with modern fixtures and finishes., -	Outdoor Space: A delightful garden area, ideal for relaxation, entertaining, or simply enjoying the outdoors.",,7589.285714285715,Greater Dublin,Premium
"3 Coolrua Drive, Dublin 9, Beaumont, Dublin 9, D09F978",460000.0,3,1,Semi-D,87.0,E1,53.388938,-6.235343,12501.0,beaumont-dublin,Dublin,"Large side garden with development potential, Gas central heating, Feature fireplace, Timber storage shed, Storm porch, South-east facing garden",1950.0,5287.35632183908,Dublin 9,Mid-Market
"20 Muileann Close, Swords, Co. Dublin, K67H6P0",490000.0,3,2,Terrace,103.0,A2,53.443039,-6.202728,11907.0,swords-dublin,Dublin," South facing rear garden,  A-Rated,  Overlooking green space,  Kitchen island,  Utility room, Guest W.C., Master en-suite, Fitted wardrobes, Feature wall, Fitted blinds",,4757.281553398058,Greater Dublin,Mid-Market
"24 St Ignatius Road, Phibsborough, Dublin 7, D07VR80",445000.0,2,2,End of Terrace,96.0,D2,53.361799,-6.26255,9426.0,phibsborough-dublin,Dublin,"Two bedroom end of terrace residence, The Royal Canal is behind this property, Prime location close to many amenities, GFCH",1920.0,4635.416666666667,Dublin 7,Mid-Market
"5 Streamstown Wood Steamstown Malahide, Malahide, Co. Dublin, K36AY26",1950000.0,5,5,Detached,372.0,A2,53.436867,-6.18076,34148.0,malahide-dublin,Dublin,"Double fronted detached family home of 4,000sqft, Presented in Â‘show houseÂ’ condition, Exclusive development in a very convenient location, Private off street parking, Exquisite, landscaped low maintenance west facing rear garden, A2 BER rating eligible for a green mortgage, Double glazed timber framed Munster Joinery made windows and doors, Superb location, 3km from Malahide Village, 7km from Dublin Airport",,5241.935483870968,Greater Dublin,Premium
"Rose Mont, Woodbine Park, Blackrock, Co. Dublin, A94A9W6",1295000.0,5,3,Detached,171.0,B3,53.309654,-6.208595,9448.0,blackrock-dublin,Dublin,"5 bedroom (2 Ensuite), 3 bathrooms + Visitors WC,, Detached, B3 rated home extending to 170 sq.m, Exceptional location within walking distance of UCD and Sandymount Strand, Private sunny rear garden, maintenance free, mature shrubs with water feature., Contemporary Walnut fitted kitchen / Blanco Capri stone countertops., Secure Electronic Automated Gates with generous off-street parking, Bright crema marfil marble tiled floor hall, living, dining area and Kitchen, Large Attic with access via retractable stair unit. Development potential (S.P.P)., Modern, detached family home in walk in condition., Underfloor heating throughout the ground floor. Radiators on the first floor",2007.0,7573.099415204679,Greater Dublin,Premium
"28 Gilford Road, Dublin 4, Sandymount, Dublin 4, D04YF77",,4,4,Semi-D,260.0,E1,53.329097,-6.212321,22264.0,sandymount-dublin,Dublin,,1890.0,,Dublin 4,
"46 Upper Grand Canal Street, Ballsbridge, Dublin 4, D04VX62",1250000.0,4,3,Terrace,154.0,D1,53.337635,-6.23502,15310.0,ballsbridge-dublin,Dublin,"Beautifully presented four bed period home in Dublin 4, Magnificent original period features and detail throughout, Extended and refurbished throughout in recent years, Secluded garden to the rear, Gated off-street parking together with on-street residents` disc parking, Remote controlled Stira stairs to a large floored attic, Adjacent to an enviable choice of restaurants bars coffee and speciality food shops, Within walking distance of the city centre Ballsbridge and Sandymount, Excellent public transport links including the DART closeby",1870.0,8116.883116883117,Dublin 4,Premium
"12 Abington, Malahide, K36NT72",,4,4,Detached,336.0,C2,53.4451893,-6.1767756,17918.0,malahide-dublin,Dublin,"Substantial detached family home with attractive brick exterior., Gas fired central heating, Double glazed sash windows throughout, Detached double garage converted to games room, Private aspect within prestigious development, Electric gates and cobble lock drive, High ceilings throughout the ground floor",,,Greater Dublin,
"37 Oaktree Road, Stillorgan, Co. Dublin, A94CX92",795000.0,3,1,Semi-D,101.0,C3,53.280717,-6.199264,16013.0,stillorgan-dublin,Dublin,,1945.0,7871.287128712871,Greater Dublin,Premium
"Apt. 15, Hanover Wharf, Grand Canal Dock, Dublin 2, D02CA43",850000.0,3,2,Apartment,140.0,B2,53.344814,-6.237481,13963.0,grand-canal-dock-dublin,Dublin,"Stunning light filled Penthouse in the heart of Grand Canal Dock, Views of the Grand Canal Basin, Private Parking, Finished to an extremely high standard, Beautiful light and space within the property, Stunning Master Suite, Polish Stone flooring in the main areas, High end solid wooden flooring in the Living & Dining Area, B2 BER, Nestled amongst some of Dublin`s top amenities",2004.0,6071.428571428572,Dublin 2,Premium
