Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction
"4 Turlough Parade, Marino, Marino, Dublin 3, D03C2F4",465000,3,1,Terrace,104,D1,53.370995,-6.235805,11208,marino-dublin,Dublin,,1926
"232 Larkhill Road, Whitehall, Whitehall, Dublin 9, D09DP76",385000,2,1,Terrace,61,C3,53.387474,-6.248151,9708,whitehall-dublin,Dublin,,1945
"8 Cremore Road, Glasnevin, Glasnevin, Dublin 11, D11R6F6",950000,5,2,Semi-D,172,C3,53.378051,-6.272908,10612,glasnevin-dublin,Dublin,,NA
"24a The Glen, Watermill Rd, Raheny, Dublin 5, D05DF40",249950,1,1,Apartment,34,D1,53.375794,-6.166612,19592,raheny-dublin,Dublin,,NA
"Lislaughtin Road, Ballylongford, Co. Kerry",12500,0,0,Site,1,N/A,52.5473753,-9.475279,11288,ballylongford-kerry,Kerry,,NA
"Newpark House Hotel, Kiltoom, Co. Roscommon, N37WY02",600000,15,1,Detached,N/A,SI_666,53.486563,-8.020792,19539,kiltoom-roscommon,Roscommon,,NA
"55 Lower Main Street, Kilbeggan, Kilbeggan, Co. Westmeath, N91YFK1",250000,6,2,Townhouse,138,D2,53.36841,-7.499614,5010,kilbeggan-westmeath,Westmeath,"PVC windows, Regular bus service, Close to all amenities.",1900
"Apartment 10 , Longmeadows Apartments, Islandbridge, Dublin 8, D08XA47",395000,3,1,Apartment,76,C2,53.348099,-6.300042,13800,islandbridge-dublin,Dublin,,2000
"78 Clonliffe Avenue, Ballybough, Dublin 3, D03XR63",360000,2,2,Terrace,N/A,C3,53.360532,-6.244659,11286,ballybough-dublin,Dublin,,1950
"2 Ashton Drive, Ashton Broc, Swords, Co. Dublin, K67TD82",350000,2,2,Terrace,90,C1,53.474205,-6.236029,9932,swords-dublin,Dublin,,1999
"69 Olcovar, Shankill, Dublin 18, D18TD45",475000,3,3,Duplex,103,B2,53.227468,-6.125856,9203,shankill-dublin,Dublin,,2005
"Grouse Lodge, Lanesborough Road, Roscommon Town, Co. Roscommon, F42DE72",550000,4,3,Detached,N/A,E2,53.639273,-8.16372,11129,roscommon-town-roscommon,Roscommon,,NA
"(3), Ballynamona, Kylebrack, Loughrea, Co. Galway",580000,4,3,Detached,233,SI_666,53.131248,-8.454942,3216,kylebrack-galway,Galway,,NA
"Meencorwick, Crolly, Meencorwick, Co. Donegal, F92AH34",525000,4,4,Detached,286,B3,54.988041,-8.255396,8206,meencorwick-donegal,Donegal,"Original Cottage with large dormer extension approx.  280m2, Purpose built workshop, standard to a dwelling house, dormer, 286m2, Open stable for 10 horses, Paddock/Arena  14m x 16 m, Track room building with roofed outside area, Approx. 20 acres with river frontage, additional 7/162 commonage share in 181.58ha, Rural and secluded location, private, Close to Crolly, Dungloe and the Wild Atlantic Way",1950
"Annagh, Ballykeeran, Ballykeeran, Co. Westmeath, N37P526",495000,3,3,Bungalow,121,A3,53.453296,-7.871311,5371,ballykeeran-westmeath,Westmeath,"Energy Efficient  A Rated Home - Annagh, Glasson, Only 7 km  to Athlone town centre and 2 km to Glasson Village, Turnkey Property finished to a high standard, 3 Bedrooms with 2 Bedrooms Ensuite, Landscaped gardens, rear patio, tarmacadam driveway, front boundary wall, Large kitchen space equipped with new appliances, Bright spacious accommodation",1950
"Iora Rua, Cloongeel, Newmarket, Co. Cork, P51D6D7",450000,5,3,Detached,279,B2,52.182774,-8.987908,11788,newmarket-cork,Cork,"C. 1.12 acres , Beautiful spacious semi-private setting, Spacious, light filled dormer bungalow, 95% completed, open concept, large rooms, large driveway and ample parking, storage shed , High speed fibre broad band available, All appliances included, Two open fire places",2010
"(4), Ballynamona, Kylebrack, Loughrea, Co. Galway",580000,4,3,Detached,220,SI_666,53.13112,-8.454728,2722,kylebrack-galway,Galway,,NA
"3 Dunnes Terrace, Bohermore, Bohermore, Co. Galway, H91PW2C",350000,4,2,End of Terrace,96,E2,53.280062,-9.043149,13994,bohermore-galway,Galway,"Located on the Main Bohermore Road, Just a Short Walk to Eyre Square, 4 Bedroom Residence, Excellent Rental Potential, Large Back garden, Internal Photos to Follow, Residents Parking Available",1930
"Derawley, Drumlish, Drumlish, Co. Longford, N39FX67",375000,3,1,Bungalow,N/A,E1,53.822457,-7.738571,4933,drumlish-longford,Longford,,1968
"32 Dun Emer Gardens, Lusk, Co. Dublin, K45EN12",435000,3,3,Semi-D,104,B3,53.52409,-6.179537,11355,lusk-dublin,Dublin,,2006
"55 Lower Main Street, Kilbeggan, Kilbeggan, Co. Westmeath, N91YFK1",250000,6,2,Townhouse,138,D2,53.36841,-7.499614,4016,kilbeggan-westmeath,Westmeath,"Pvc Doubled glazed windows., Close to all amenities., Regular bus service, Close to M6 motorway, Excellent primary and secondary schools, Oil fired central heating.",1900
"43 Whitworth Road, Drumcondra, Dublin 9, D09E9P5",595000,3,2,Terrace,119,D2,53.363004,-6.264016,12728,drumcondra-dublin,Dublin,,NA
"Ellismore Cottage, Myra Manor, Malahide, Co. Dublin, K36YW02",950000,3,1,Bungalow,102,E2,53.434178,-6.176565,7690,malahide-dublin,Dublin,,NA
"Mullyamly, Corlismore, Losset, Co. Cavan, H12N592",345000,7,2,Detached,286,G,53.926634,-7.469292,12010,losset-cavan,Cavan,,NA
"38 Westwood Park, Clara, Co. Offaly, R35KT68",250000,3,3,Semi-D,100,C3,53.3406,-7.620748,9454,clara-offaly,Offaly,"Outstanding condition, End house, Large site, Close to all amenities , Parking, Insulated garage room studio, Spacious rooms, Solid fuel stove",2000
"97 Country Meadows, Cloontooa, Tuam, Co. Galway, H54AH60",190000,3,3,Terrace,88,C2,53.508901,-8.859054,9216,tuam-galway,Galway,"Calling All First Time Buyers and Investors, Exceptional Value Home, Turnkey Condition, Centrally Located, Freshly Painted, Walking Distance to Tuam Town, 1 Minute to Motorway, 30 Minute Drive to Galway City, High Speed Broadband Available, Upgraded Boiler",2004
"96 Cois Na H-Abhainn, Ballygaddy Road, Tuam, Co. Galway, H54FT96",250000,4,3,Semi-D,124,C1,53.517445,-8.86056,10375,tuam-galway,Galway,"Centally Located, Exceptional Value For Money, Spacious Residence, Walking Distance to Town Centre, 30 Minutes Drive From Galway City, High Speed Broadband Available , Overlooking Large Green, Private Back Garden",2005
"Corlismore, Ballinagh, Co. Cavan",115000,4,1,Detached,163,G,53.924599214886,-7.4694706980135,13144,ballinagh-cavan,Cavan,,1829
"Ashieanna, Ballycorus Road, Rathmichael, Dublin 18, D18KR92",1750000,5,4,Detached,321,C2,53.234097,-6.165501,7807,rathmichael-dublin,Dublin,"Special Features, Spacious five bedroom residence (three ensuite), Recently renovated with turn-key interiors by Helen Turkington, Hand painted Christoff kitchen with white Calacatta worktop, Luxuriously appointed main bedroom suite with en-suite bathroom, Five double bedrooms, Landscaped gardens by Blooms Gold Medalist, Composite decking with glass balustrade, Services, OFCH",1983
"2 Scariff Hall, Waterville, D15W624",275000,2,2,Apartment,N/A,D1,53.391973,-6.373568,7424,blanchardstown-dublin,Dublin,"2-bedroom/2-bathroom ground floor apartment, Sunny south-facing balcony, Open-plan living room, Electric Storage heating/ PVC Double glazed windows, One designated car parking space and communal parking, Area well-serviced by public transport, Short drive to the M50",2001
"Killagoola, Moycullen, Co. Galway, H91R858",330000,3,1,Bungalow,73,G,53.320719,-9.182253,10389,moycullen-galway,Galway,"Eligible for vacant property refurbishment grant of between &amp;euro;50,000 and &amp;euro;70,000, C. 0.75 acre site, Private country living, Power and water connected, Outbuildings, Scenic Country Side Views, Close proximity to Moycullen village",1956
"35 Arbor Road, Lisduggan, Waterford, X91KWP5",175000,3,1,Terrace,721,D1,52.253229,-7.131044,17501,N/A,N/A,,1967
"The Laurels, 2 Cluain A Laoi, Cork Road, Waterford, X91N6FD",349000,4,4,Semi-D,171,C3,52.244209,-7.144547,11766,waterford-city,Waterford,,1974
"17 McAuley Avenue, Artane, Artane, Dublin 5, D05K4P1",349000,2,1,End of Terrace,71,E1,53.384197,-6.189822,13024,artane-dublin,Dublin,,NA
"3 Greendale Road, Raheny, Dublin 5, D05V266",685000,4,3,Semi-D,198,C1,53.38444,-6.15229,11752,N/A,N/A,,1965
"18 Foxwood, Swords, Co. Dublin, K67E0R9",395000,3,1,Semi-D,84,D2,53.453705,-6.212379,16407,swords-dublin,Dublin,,1975
"7 Crestfield Heights, Riverstown, Glanmire, Co. Cork, T45HD82",315000,3,1,Bungalow,74,D1,51.935401,-8.392317,8972,glanmire-cork,Cork,"Central location close to all amenities, Nicely situated overlooking Glanmire and surrounding areas , Large rear and side garden, Private rear garden",1997
"Kestrel, Main Street, Ballydehob, Co. Cork, P81CK30",220000,4,2,Townhouse,N/A,F,51.562398,-9.463437,25661,ballydehob-cork,Cork,,1900
"17 Station Court Park, Coolmine, Dublin 15",295000,3,2,Duplex,104,C2,53.3793805,-6.3965097,18426,coolmine-dublin,Dublin,,NA
"32 Cedarwood Park, Glasnevin, Dublin 11, D11AH99",495000,3,1,Bungalow,N/A,A2,53.395959,-6.286897,7691,glasnevin-dublin,Dublin,,NA
"32 Cedarwood Park, Glasnevin, Dublin 11, D11AH99",495000,0,0,Site,0.12,N/A,53.395959,-6.286897,3457,glasnevin-dublin,Dublin,,NA
"Apartment 100, The Westmoreland, Dublin 4, D04YN34",335000,1,1,Apartment,39,E1,53.342305,-6.23625,14161,dublin-4-dublin,Dublin,,1997
"Apartment 30 , Block A, Smithfield Market, Smithfield, Dublin 7, D07TF70",425000,2,2,Apartment,76,C2,53.348851,-6.27907,6118,smithfield-dublin,Dublin,,NA
"Garristown, Co. Dublin, A42C958",675000,5,3,Detached,211,B1,53.56756,-6.376018,8788,garristown-dublin,Dublin,,1910
"Apartment 34, The Clarin, Athenry, Co. Galway, H65V521",250000,2,2,Apartment,80,D2,53.293485,-8.749262,10151,athenry-galway,Galway,"Stunning Modern Apartment, Spacious Floor Area, Abundance of Natural Light, Upgraded Heating System , Contemporary Fixtures and Fittings Throughout, Ample Car Parking Space, Ideal Location, Shopping Complex on your doorstep, Walking Distance to Town Centre, 20 Minutes drive to Galway City",2006
"25 Aranleigh Gardens, Rathfarnham, Dublin 14, D14H3E9",895000,6,3,Semi-D,201,D2,53.288994,-6.277309,8330,rathfarnham-dublin,Dublin,,1977
"Belair, Laplands, Carr's Hill, Douglas, Co. Cork, T12EKW0",375000,3,1,Detached,N/A,D2,51.850637,-8.414995,16477,douglas-cork,Cork,"Minutes from the thriving village of Douglas, Superbly located, Extension to rear",1900
"Apartment 16, Sidbury Court, Sidmonton Avenue, Bray, Co. Wicklow, A98XH72",355000,2,1,Apartment,60,C1,53.202245,-6.099537,10367,bray-wicklow,Wicklow,,1999
"Drumcooley, Edenderry, Co. Offaly, R45WV59",485000,4,2,Detached,249,B3,53.321284,-7.077414,9066,edenderry-offaly,Offaly,"Show home condition, Elevated landscaped gardens, Solid walnut floors, Granite Countertops , Detached garage/studio, B3 energy rating, Close to town , Open plan kitchen dining room, Bespoke kitchen, Gated",2008
"33 Tegan Court, Screggan, Tullamore, Co. Offaly, R35AX92",530000,4,3,Detached,196,C2,53.247188,-7.554411,8423,tullamore-offaly,Offaly,"Detached Four Bedroom Family Home, Award Winning Residential Development, Presented In Showhouse Condition, Well Proportioned Light Filled Rooms Throughout, Zoned Underfloor Heating To Ground Floor Rads To 1st, Fitted Water Softener, Ample Off Street Parking, Mature Garden Spaces Complete With Steel Garden Shed & Expansive Decking, Gated Side With Vehicle Access To Rear",2004
"Barnagurry, Kiltimagh, Cloonfallagh, Co. Mayo, F12YH21",75000,3,1,Detached,130,G,53.846119,-8.924583,45118,cloonfallagh-mayo,Mayo,"Prime location In a sought after area , Countryside setting , Cul-de-sac road , Close to Knock and Kiltimagh town, 10 mins to Knock Airport , Well water supply and septic tank ",NA
"Hare Island South, Heir Island, Co. Cork, P81AE92",650000,3,1,Detached,N/A,F,51.490897,-9.429254,46419,heir-island-cork,Cork,,1900
"Mountain, Ballyhaunis, Co. Mayo, F35VK57",190000,4,4,Detached,186,SI_666,53.791868,-8.739798,10637,ballyhaunis-mayo,Mayo,"Eircode F35 VK57, Detached countryside property on 0.5 acre site., Views of Lough Caheer, Spacious living and sleeping accommodation, Option to develop the attic space 1,200 sq ft additional space, Two en-suite bedrooms, Open plan living space, Short drive to Ballyhaunis, Castlerea, Knock, Claremorris, Ireland West Airport , Viewing comes highly recommended, Exceptional Value",NA
"Drum, Knock, Co. Mayo",115000,0,0,Site,12,N/A,53.791557,-8.900515,5439,knock-mayo,Mayo,"Located 800m to Knock village , Just off the main N17 Galway/Sligo road network , Prime location ",NA
"Toberdaly House, Tubberdaly, Rhode, Co Offaly, R35HW57",380000,5,4,Semi-D,168,SI_666,53.335998,-7.219368,9662,rhode-offaly,Offaly,"Grassy courtyard with a number of stone outbuildings, Private south facing back garden with spectacular views of Croghan Hill and surrouding countryside., Cobble lock walk way., Pond with granite and brick surround in rear sunny garden., Built in Barbeque, OFCH/SFCH, Origional stairs, shutters, doors, and floors.",NA
"Tulrahan, Claremorris, Co. Mayo, F12HW77",85000,2,1,Detached,79,G,53.701741,-8.824077,8416,claremorris-mayo,Mayo,"Prime location In a sought after area , Countryside setting , Close to all amenities , 20 mins Airport , Option of c.26 extra acres ",NA
"Airglooney, Tuam, Co. Galway",Price on Application,0,0,Site,0.25,N/A,53.52535478056561,-8.874197255600365,3623,tuam-galway,Galway,"Within 2kms of Tuam town, Full planning permission for detached family home and garage, Fibre broadband available",NA
"Kiltroge, Cahernashilleeny, Claregalway, Co. Galway",170000,0,0,Site,3.09,N/A,53.34972034957141,-8.893956459059211,7204,claregalway-galway,Galway,"Large site c.3.089 acres, Excellent Location and Development Opportunity, Selection of sought-after Schools in the area, Short drive to Claregalway and Galway City, Local Housing Need Required, Folio GY91541F",NA
"Cloongullan, Swinford, Co. Mayo, F12RX58",549500,8,5,Detached,N/A,C1,53.955993,-8.98082,7758,swinford-mayo,Mayo,"6 bedroom residence with 2 bedroom apartment., Main residence 356 square metres / 3,829 square feet., Apartment 66 square metres / 708 square feet., Large patio area., Garage & storage sheds., 1.6 acres of landscaped gardens with orchard., Very convenient to Swinford, Foxford and Ireland West Airport Knock.",1990
"Harristown Lane Site, Swords, Co. Dublin",1000000,0,0,Site,3,N/A,53.420154009001266,-6.2964678165772625,9145,swords-dublin,Dublin,,NA
"Clonmel Road, Carrick-on-Suir, Co. Tipperary",150000,0,0,Site,0.93,N/A,52.3468135,-7.4152062,3677,carrick-on-suir-tipperary,Tipperary,"0.93 acre site, Zoned Town Centre, Prime Location, Host of local amenities",NA
"26 Park Avenue, Clongriffin, Clongriffin, Dublin 13, D13H2P7",550000,4,3,Terrace,141,A3,53.404764,-6.157857,13045,clongriffin-dublin,Dublin,,2015
"Avondale, Swords Road, Malahide, Co. Dublin, K36HE40",2500000,7,4,Detached,279,SI_666,53.451522,-6.192246,15668,malahide-dublin,Dublin,,NA
"Laharanshermeen, Bantry, Co. Cork, P75TY49",295000,3,2,Detached,N/A,D2,51.728719,-9.356554,38042,bantry-cork,Cork,,NA
"57 Glendaniel, Tullamore, Co. Offaly, R35H422",495000,4,4,Detached,279,C1,53.279242,-7.501433,8351,tullamore-offaly,Offaly,"Gated entrance with sweeping tarmac drive to front, Oil and wood pellet central heating, Composite front door, Spacious living accommodation, Garage (5.12m x 2.88m), Sought after location",1998
"Avondale Site, Malahide Road, Malahide, Co. Dublin",2500000,0,0,Site,5.75,N/A,53.4357649,-6.1693332,11691,malahide-dublin,Dublin,,NA
"1A Aubrey Grove, Shankill, Dublin 18, D18C3K0",785000,3,1,Detached,102,C1,53.230173,-6.120986,11352,shankill-dublin,Dublin,"Exclusive Quiet Cul De Sac Setting, Decorated With Taste & Flair Throughout, Truly Spectacular Open Plan Kitchen Dining Living Room, Bespoke Custom Built Fitted Kitchen, Luxury High Quality Sanitary Ware, Gas Fired Central Heating System, Low Maintenance Landscaped Gardens, Ample Off Street Parking, South-West Facing Rear Garden, Alarm System",2008
"24 Glenhill Avenue, Finglas, Finglas, Dublin 11, D11K5N3",375000,3,2,Semi-D,96,D1,53.384222,-6.290018,14167,finglas-dublin,Dublin,,NA
"8 Maryfield Crescent, Artane, Dublin 5, D05Y1F3",435000,3,1,End of Terrace,N/A,E1,53.38363,-6.210793,13534,artane-dublin,Dublin,,NA
"Johnstown Cottage, Johnstown, Co. Kildare, W91YW58",450000,4,5,End of Terrace,N/A,C3,53.237451,-6.621518,16939,johnstown-kildare,Kildare,,NA
"19 The Elms, Ridgewood, Swords, Co. Dublin, K67A4T1",450000,3,3,End of Terrace,N/A,A3,53.448178,-6.251525,16746,swords-dublin,Dublin,,NA
"96 Carndonagh Park, Donaghmede, Donaghmede, Dublin 13, D13H9X4",365000,3,2,End of Terrace,102,F,53.394862,-6.155323,17159,donaghmede-dublin,Dublin,,1970
"41 Russell's Terrace, Kettles Lane, Swords, Co. Dublin, K67X584",269950,2,1,Apartment,67,B3,53.441306,-6.205132,13170,swords-dublin,Dublin,,NA
"3 Shamrock Cottages, Dublin 1, D01F5N3",285000,2,1,Terrace,N/A,E1,53.355417,-6.244494,39173,dublin-1-dublin,Dublin,,1900
"349 Castlecurragh Heath, Mulhuddart, Mulhuddart, Dublin 15, D15R802",325000,4,3,End of Terrace,125,D2,53.403182,-6.393611,26074,mulhuddart-dublin,Dublin,,2004
"74 Gleann Na Rí, Druid Valley, Garristown, Co. Dublin, D18PF8C",335000,2,1,Apartment,N/A,C1,53.246108,-6.143528,15314,garristown-dublin,Dublin,,NA
"Shallon, The Ward, Co. Dublin, D11CA29",950000,6,4,Detached,245,B3,53.445071,-6.311873,12831,the-ward-dublin,Dublin,,NA
"6 Barclay Court, Blackrock, Co. Dublin",795000,4,2,Semi-D,N/A,D1,53.298288845,-6.174448308,15462,blackrock-dublin,Dublin,,NA
"22 Golden Ridge Way, Rush, Co. Dublin, K56AK87",369950,3,3,Duplex,129,B1,53.525056,-6.0926,18559,rush-dublin,Dublin,,NA
"201 Glasnevin Avenue, Glasnevin, Dublin 11, D11FH00",549000,4,1,Semi-D,140,E1,53.390318,-6.281687,12905,glasnevin-dublin,Dublin,,NA
"287 Elm Mount Avenue, Beaumont, Beaumont, Dublin 9, D09Y2X8",450000,3,2,Semi-D,N/A,F,53.377684,-6.217619,14114,beaumont-dublin,Dublin,"Excellent location, No Rent Cap, Garage to rear with potential to convert to granny flat",NA
"Clondoogan, Summerhill, Co. Meath, A83E627",550000,3,1,Detached,N/A,SI_666,53.482164,-6.750589,11498,summerhill-meath,Meath,,NA
"202 Sutton Park, Sutton, Dublin 13, D13X4F3",795000,5,2,Detached,N/A,E1,53.390747,-6.13512,15587,sutton-dublin,Dublin,,1965
"77 Inglewood Rd plus 77a Inglewood Rd, Clonsilla, Dublin 15, D15C9YX",450000,4,2,Semi-D,N/A,D1,53.389334,-6.409161,5255,clonsilla-dublin,Dublin,,NA
"12 Griffeen Glen Park, Lucan, Co. Dublin, K78NX62",535000,4,4,Semi-D,N/A,C3,53.343672,-6.435853,16830,lucan-dublin,Dublin,,NA
"33 Willow Wood Green, Clonsilla, Dublin 15, D15HP9K",375000,3,2,Semi-D,88,D1,53.390411,-6.419847,11979,clonsilla-dublin,Dublin,,NA
"77 Inglewood Rd plus 77a Inglewood Rd, Clonsilla, Dublin 15, D15C9YX",450000,0,0,Site,0.09,N/A,53.389334,-6.409161,4164,clonsilla-dublin,Dublin,,NA
"Eadestown House, On Approx. 12ha(31 Acres), Eadestown, Naas, County Kildare, W91P6XY",1850000,4,5,Detached,372,SI_666,53.199409,-6.594792,12641,naas-kildare,Kildare,,NA
"Apt 19 Phoenix View, Dublin 8, D08NV99",274950,2,1,Apartment,N/A,D1,53.342787,-6.293003,16744,dublin-8-dublin,Dublin,,1994
"5 Oileain Na Crannoige, Ballymun, Dublin 11, D11VK0W",365000,3,3,Terrace,107,A2,53.402335,-6.279694,13811,ballymun-dublin,Dublin,,2020
"116 Hampton Wood Avenue, Finglas, Finglas, Dublin 11, D11FE81",269950,2,2,Apartment,N/A,C1,53.405417,-6.286596,6855,finglas-dublin,Dublin,,NA
"Apartment 33, Block C, Lansdowne Valley Apartments, Drimnagh, Dublin 12, D12W684",214950,1,1,Apartment,N/A,C1,53.324962,-6.327446,13024,drimnagh-dublin,Dublin,,NA
"79 Sillogue Gardens, Ballymun, Ballymun, Dublin 11, D11V6K0",295000,3,2,Terrace,92,D1,53.394325,-6.267581,8892,ballymun-dublin,Dublin,,1966
"17 Manor Place, ongar Village, Ongar, Dublin 15, D15NX94",265000,2,2,Apartment,77,D2,53.396435,-6.440503,10258,ongar-dublin,Dublin,,NA
"20 Greenville Terrace, South Circular Road, Dublin 8, D08H9AK",550000,3,2,Terrace,N/A,F,53.332951,-6.278773,19842,dublin-8-dublin,Dublin,,NA
"Richmond, Whitestown, Swords, Co. Dublin, A45EH32",650000,4,2,Detached,N/A,D1,53.510496,-6.348148,8273,swords-dublin,Dublin,,NA
"6 Hawthorn Bank, Royal Canal, Mullingar, Co. Westmeath, N91ET2Y",280000,3,3,Terrace,N/A,B2,53.522046,-7.328694,10078,mullingar-westmeath,Westmeath,,NA
"1 Foxfield Grove, Raheny, Dublin 5, D05X5N2",835000,3,1,Semi-D,N/A,E1,53.384193,-6.151962,9880,N/A,N/A,,NA
"Apartment 5, 32/33 Gardiner Street Upper, Dublin 1, D01H935",325000,2,1,Apartment,N/A,D1,53.358351,-6.261096,18867,dublin-1-dublin,Dublin,,NA
"1 The Walk, Roscommon Town, Co. Roscommon, F42R996",Price on Application,8,9,Detached,360,B1,53.636699,-8.186653,8013,roscommon-town-roscommon,Roscommon,"Geothermal heating with gas hot water back up system. , PVC double glazed windows Raile, Railed hotpress , Fully serviced garage to rear 25 ft. X 15 ft. , Hollowcore concrete flooring and stairs., Split level lawned and fully landscaped garden, Water softner and water purification system , Individual smoke alarms in all rooms, Alarm fitted. , All mains services",2007
"15 Cluain Dara, Monadreen, Thurles, Co. Tipperary, E41H996",340000,4,3,Detached,138,C2,52.671407,-7.817465,14536,thurles-tipperary,Tipperary,"HALLWAY: Tiled floor, radiator and w.c. under stairs., SITTING ROOM: Very bright, dual aspect room with solid fuel stove, radiator, spot lights, coving, built in shelving/tv stand and engineered oak floor., KITCHEN/DINING/LIVING AREA: Large space with Wall/floor kitchen units plus wall tiles in between, integrated oven/hob, breakfast counter & tiled area., GARAGE: Roller front door, door to back garden, section of floor tiled, water softener, boiler and plumbed for washing machine., LANDING: Hotpress, velux, carpet covered floor, stira to attic., BATHROOM: Lino covered floor, bath including shower, w.h.b. and w.c. Tiled wall around bath., BEDROOM 1: (front) Built in office unit with desk and shelving.  Wall mounted head board.  Radiator., BEDROOM 2: (front) Sliding door, radiator and substantial built in wardrobe with shelving., BEDROOM 3: (back) Built in bunk beds and radiator., BEDROOM 4: (back - main) Radiator and en suite - Lino covered floor, shower, w.h.b. and w.c.",1995
"Apartment 19, Chestnut, Grattan Wood, Dublin 13, D13T9X3",325000,2,2,Apartment,83,C1,53.401734,-6.162805,7478,N/A,N/A,,NA
"22 Chieftain's Road, Balbriggan, Co. Dublin, K32YH48",225000,2,2,End of Terrace,N/A,C3,53.613014,-6.201682,19719,balbriggan-dublin,Dublin,,NA
"Saint Patrick's, Church Road, Ballybunion, Co. Kerry, V31PH98",565000,4,3,Detached,170,D1,52.512116,-9.669979,12668,ballybunion-kerry,Kerry,"Built in 1984 - twin leaf block built with cavity walls pumped and attic insulated in 2024., Double glazed aluminium windows., All mains services., Semi- solid oak flooring in sitting room, corridor and bedrooms.",1984
"Apartment 26, Liberty Court Apartments, Dublin 8, D08HRX0",449950,2,1,Apartment,N/A,C3,53.334859,-6.274465,8738,dublin-8-dublin,Dublin,,NA
"5 Saint George's Road, Finglas, Dublin 11, D11F2Y4",325000,3,1,Semi-D,N/A,F,53.391145,-6.29956,9132,finglas-dublin,Dublin,,NA
"33 Nutley Avenue, Ballsbridge, Dublin 4, Co. Dublin, D04X0N1",1950000,5,2,Detached,175,D2,53.31842,-6.217463,10749,dublin-4-dublin,Dublin,,1955
"Crescent House, Casement Street, Ballina, Co. Mayo, F26NX34",Price on Application,6,6,Townhouse,407,D1,54.11254,-9.15591,8095,ballina-mayo,Mayo,"Well known Historical building situated in the heart of Ballina town., Originally the town library it was refurbished to the well known Crescent House., 5 minutes walk to all local amenities, Train & Bus Stations, Schools, Shops, and Eateries., Formally a well seasoned B&B., Current Guest House with Established Connections with Ballina Business`s., 6 Bedrooms all with Ensuites., Potential to expand., Prospective Boutique Hotel, Airbnb or Primary Residence., Eircode Crescent House F26 NX34   Eircode The Post House F26YY43        Eircode Phone Hospital F26R220   ",1860
"66 Kilkeevan Park, Castlerea, Co. Roscommon, F45A407",130000,2,2,Semi-D,70,C2,53.763462,-8.490222,16525,castlerea-roscommon,Roscommon,"Semi Detached Residence in Turn Key Condition , 2 Bedrooms with one bedroom on ground floor with shower room , Overlooks large green area , Walking Distance on Castlerea Town Centre ",NA
"Keiloge, Grantstown, Co. Waterford, X91Y5H0",265000,3,1,Bungalow,92,G,52.200286,-7.070827,14128,grantstown-waterford,Waterford,,1929
"51 Glenmore Wood, Mullingar, Co. Westmeath, N91PW82",395000,4,2,Detached,N/A,A3,53.521843,-7.325872,17983,mullingar-westmeath,Westmeath,,NA
"APARTMENT 9, 26 Aungier Street, Dublin 2, D02C663",300000,2,1,Apartment,46,C1,53.339301,-6.265731,17386,dublin-2-dublin,Dublin,,1994
"Kilkerrin, Kilkerrin, Co. Galway, H53X598",200000,2,1,Semi-D,6,C1,53.554875,-8.566152,14446,kilkerrin-galway,Galway,"Energy Efficent, Convenient Village Location, Beautiful Open Plan Kitchen Dinner, Large Master Bedroom , Low Maintenance Garden, Block Built Shed",2012
"7 Cnoc Na Cille, Ballybrit, Ballybrit, Co. Galway, H91KX2T",315000,5,3,Semi-D,102,D1,53.285724,-9.001061,17724,ballybrit-galway,Galway,"Delightfully Presented 5 Bedroom Residence, Centrally Located, Turnkey Condition, Exceptional Value for Money, 3 Bathrooms, Abundance of Natural Light Throughout, Not Overlooked to Front, Large Green, Private Parking, Close to All Amenities ",1999
"The Demesne, Gowran, Co. Kilkenny, R95V9X0",650000,6,3,Detached,272,B2,52.623382,-7.057657,11401,gowran-kilkenny,Kilkenny,"RIVERSIDE PROPERTY WITH LAND ON BOTH SIDES AND BRIDGE TO ACCESS 4ACRES IN TOTAL , CONCRETE FLOOR ON FIRST FLOOR UNDERFLOOR THERMOSTATICALLY CONTROLLED , HEAT RECOVERY VENTILATION SYSTEM INSTALLED, SOLAR PANELS INSTALLED ,HEATING AND WATER LARGE CYLINDER , MULTIPLE WATER AND ELECTRIC POINTS OUTSIDE/ GRANT OIL BOILER, ATTIC SPACE FLOORED OUT, WITH DEVELOPMENT POTENTIAL  ELECTRICAL POINTS INSTALLED, TENNIS COURT WITH FULL FLOOD LIGHTING , DETACHED GARAGE WITH DEVELOPMENT POTENTIAL 52sq mtrs ATTIC FLOORED, DOUBLE STEEL GARAGE PERFECT FOR HOBBY SPACE /DOUBLE ENTRY/PRESSURISED WATER SYSTEM, 7 MINUTES FROM MOTORWAY ACCESS ",NA
"Inglewood On C. 11.07 (27.32 Acres), Munster Hill, Enniscorthy, Co Wexford, Y21D2K8",695000,4,2,Detached,235,SI_666,52.493429,-6.579363,10013,enniscorthy-wexford,Wexford,,NA
"Eadestown House, Eadestown, Naas, Co. Kildare, W91P6XY",1850000,4,5,Detached,372,SI_666,53.199416,-6.5949,10265,naas-kildare,Kildare,,NA
